Issue Type,Dataset ID,Metadata ID,Submitter,Submission Date & Time,Title
NO SCIENTIST,7506,MF-1578624593,akbakshi,2013-12-05 00:00:00+00:00,Cosmic ray dose arourn Bharati during 32nd Expedition
NO SCIENTIST,16,NULL,V Samy,2013-12-05 00:00:00+00:00,Birds and mammals observed during 28th InSEA
NO SCIENTIST,7505,MF-594137114,ksivakumar,2013-12-05 00:00:00+00:00,Birds and mammals observed during 28th InSEA
DUPLICATE DATASET,7488,MFea22ddeeae,soe,2026-03-03 08:04:08.634746+00:00,Southern Ocean Sample Dataset - Test Metadata
DUPLICATE DATASET,5826,MFd8fa8223c3,V Samy,2026-03-02 17:11:20.675488+00:00,Southern Ocean Sample Dataset - Test Metadata
DUPLICATE DATASET,4993,MFd10781899c,V Samy,2026-03-02 16:41:09.692682+00:00,Southern Ocean Sample Dataset - Test Metadata
DUPLICATE DATASET,4160,MFc8710f6b4f,V Samy,2026-03-02 16:19:31.502403+00:00,Southern Ocean Sample Dataset - Test Metadata
DUPLICATE DATASET,3327,MF4919aa5b1c,V Samy,2026-03-02 12:12:49.957969+00:00,Southern Ocean Sample Dataset - Test Metadata
DUPLICATE DATASET,2494,MFcb573363d5,V Samy,2026-03-02 09:44:36.392577+00:00,Southern Ocean Sample Dataset - Test Metadata
DUPLICATE DATASET,1661,MF2548110754,V Samy,2026-03-02 06:47:00.198919+00:00,Southern Ocean Sample Dataset - Test Metadata
DUPLICATE DATASET,7487,MF14c63aad7f,arc,2026-03-03 08:04:08.600511+00:00,Arctic Sample Dataset - Test Metadata
DUPLICATE DATASET,5825,MF57c84bf79a,V Samy,2026-03-02 17:11:20.641650+00:00,Arctic Sample Dataset - Test Metadata
DUPLICATE DATASET,4992,MF2143e1000d,V Samy,2026-03-02 16:41:09.649512+00:00,Arctic Sample Dataset - Test Metadata
DUPLICATE DATASET,4159,MF4a04478f91,V Samy,2026-03-02 16:19:31.473089+00:00,Arctic Sample Dataset - Test Metadata
DUPLICATE DATASET,3326,MFb9a8664541,V Samy,2026-03-02 12:12:49.934575+00:00,Arctic Sample Dataset - Test Metadata
DUPLICATE DATASET,2493,MF931d616221,V Samy,2026-03-02 09:44:36.368258+00:00,Arctic Sample Dataset - Test Metadata
DUPLICATE DATASET,1660,MF42ea410c27,V Samy,2026-03-02 06:47:00.174191+00:00,Arctic Sample Dataset - Test Metadata
DUPLICATE DATASET,7486,MFcebe3480a2,ant,2026-03-03 08:04:08.577106+00:00,Antarctic Sample Dataset - Test Metadata
DUPLICATE DATASET,5824,MFac544607ba,V Samy,2026-03-02 17:11:20.611290+00:00,Antarctic Sample Dataset - Test Metadata
DUPLICATE DATASET,4991,MF1276103081,V Samy,2026-03-02 16:41:09.624364+00:00,Antarctic Sample Dataset - Test Metadata
DUPLICATE DATASET,4158,MF36ad2437ab,V Samy,2026-03-02 16:19:31.437982+00:00,Antarctic Sample Dataset - Test Metadata
DUPLICATE DATASET,3325,MF130f22947b,V Samy,2026-03-02 12:12:49.901508+00:00,Antarctic Sample Dataset - Test Metadata
DUPLICATE DATASET,2492,MFdbd29ab1b2,V Samy,2026-03-02 09:44:36.345492+00:00,Antarctic Sample Dataset - Test Metadata
DUPLICATE DATASET,1659,MFba9575293d,V Samy,2026-03-02 06:47:00.150488+00:00,Antarctic Sample Dataset - Test Metadata
DUPLICATE DATASET,5827,MF101d1c1eec,V Samy,2026-03-02 17:11:20.711450+00:00,Himalaya Sample Dataset - Test Metadata
DUPLICATE DATASET,4994,MFf79dca765f,V Samy,2026-03-02 16:41:09.779622+00:00,Himalaya Sample Dataset - Test Metadata
DUPLICATE DATASET,4161,MF6b8051fa54,V Samy,2026-03-02 16:19:31.527961+00:00,Himalaya Sample Dataset - Test Metadata
DUPLICATE DATASET,3328,MFb16401d2fc,V Samy,2026-03-02 12:12:49.978082+00:00,Himalaya Sample Dataset - Test Metadata
DUPLICATE DATASET,2495,MF5918b89a56,V Samy,2026-03-02 09:44:36.408357+00:00,Himalaya Sample Dataset - Test Metadata
DUPLICATE DATASET,1662,MF7829ede7f3,V Samy,2026-03-02 06:47:00.216838+00:00,Himalaya Sample Dataset - Test Metadata
DUPLICATE DATASET,829,NULL,V Samy,2024-09-11 00:00:00+00:00,Distribution and diversity  of Prokaryotic communities in the Western Arctic Ocean (NGS sequence metadata)
DUPLICATE DATASET,8318,MF-1161013246,Vipindas Puthiya veeetttil,2024-09-11 00:00:00+00:00,Distribution and diversity  of Prokaryotic communities in the Western Arctic Ocean (NGS sequence metadata)
DUPLICATE DATASET,8317,MF-1362172241,Shubham Dwivedi,2024-09-09 00:00:00+00:00,"Meta-data Title The title of the data set described by the metadata e.g. ""Hourly Tidal Observations from the Coast of India , 1942-1986."
DUPLICATE DATASET,828,NULL,V Samy,2024-09-09 00:00:00+00:00,"Meta-data Title The title of the data set described by the metadata e.g. ""Hourly Tidal Observations from the Coast of India , 1942-1986."
DUPLICATE DATASET,8315,MF-492841035,V Samy,2024-08-08 00:00:00+00:00,test 8_august_2024
DUPLICATE DATASET,826,NULL,V Samy,2024-08-08 00:00:00+00:00,test 8_august_2024
DUPLICATE DATASET,827,NULL,V Samy,2024-08-08 00:00:00+00:00,Test Upload Aug 8 2024
DUPLICATE DATASET,8316,MF-961922753,Shubham Dwivedi,2024-08-08 00:00:00+00:00,Test Upload Aug 8 2024
DUPLICATE DATASET,825,NULL,V Samy,2024-07-29 00:00:00+00:00,LH73 Diatom and Textural analysis data
DUPLICATE DATASET,8314,MF-596881923,Mahesh Badnal,2024-07-29 00:00:00+00:00,LH73 Diatom and Textural analysis data
DUPLICATE DATASET,8312,MF822550234,Shramik Patil,2024-07-28 00:00:00+00:00,Southern Indian Ocean coccolithphore data
DUPLICATE DATASET,8313,MF240429725,Shramik Patil,2024-07-28 00:00:00+00:00,Southern Indian Ocean coccolithphore data
DUPLICATE DATASET,824,NULL,V Samy,2024-07-28 00:00:00+00:00,Southern Indian Ocean coccolithphore data
DUPLICATE DATASET,823,NULL,V Samy,2024-07-28 00:00:00+00:00,Southern Indian Ocean coccolithphore data
DUPLICATE DATASET,8309,MF116630353,V Samy,2024-07-11 00:00:00+00:00,Surface Temperature Observatory at Himansh Station
DUPLICATE DATASET,820,NULL,V Samy,2024-07-11 00:00:00+00:00,Surface Temperature Observatory at Himansh Station
DUPLICATE DATASET,8310,MF538070514,V Samy,2024-07-11 00:00:00+00:00,Surface Velocity observed at Himansh Station
DUPLICATE DATASET,821,NULL,V Samy,2024-07-11 00:00:00+00:00,Surface Velocity observed at Himansh Station
DUPLICATE DATASET,8311,MF462255588,Parmanand Sharma,2024-07-11 00:00:00+00:00,Discharge from Glacier Catchments in the Western Himalaya
DUPLICATE DATASET,822,NULL,V Samy,2024-07-11 00:00:00+00:00,Discharge from Glacier Catchments in the Western Himalaya
DUPLICATE DATASET,8305,MF73919117,Elango P,2024-07-10 00:00:00+00:00,"Application of Global Positioning System (GPS) for Glacier studies at Schirmacher oasis, East Antarctica 2008"
DUPLICATE DATASET,816,NULL,V Samy,2024-07-10 00:00:00+00:00,"Application of Global Positioning System (GPS) for Glacier studies at Schirmacher oasis, East Antarctica 2008"
DUPLICATE DATASET,817,NULL,V Samy,2024-07-10 00:00:00+00:00,"Riometer Parameter Variations observed at Maitri, Antarctica"
DUPLICATE DATASET,8306,MF-95904342,Elango P,2024-07-10 00:00:00+00:00,"Riometer Parameter Variations observed at Maitri, Antarctica"
DUPLICATE DATASET,8307,MF-848162950,Elango P,2024-07-10 00:00:00+00:00,"Digital Fluxgate Magnetometer Parameter Variations observed at Bharati, Antarctica"
DUPLICATE DATASET,818,NULL,V Samy,2024-07-10 00:00:00+00:00,"Digital Fluxgate Magnetometer Parameter Variations observed at Bharati, Antarctica"
DUPLICATE DATASET,819,NULL,V Samy,2024-07-10 00:00:00+00:00,"Global Electrical Circuit Parameter Variations observed at Bharati, Antarctica"
DUPLICATE DATASET,8308,MF-230378348,Elango P,2024-07-10 00:00:00+00:00,"Global Electrical Circuit Parameter Variations observed at Bharati, Antarctica"
DUPLICATE DATASET,815,NULL,V Samy,2024-07-10 00:00:00+00:00,Three Station Fluxgate Magnetometer Experiment to Determine Auroral Current Velocities over Indian Antarctic Station
DUPLICATE DATASET,8304,MF-697388350,Elango P,2024-07-10 00:00:00+00:00,Three Station Fluxgate Magnetometer Experiment to Determine Auroral Current Velocities over Indian Antarctic Station
DUPLICATE DATASET,8301,MF1763574713,DG IMD New Delhi,2024-07-09 00:00:00+00:00,Meteorological Studies-Surface carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,812,NULL,V Samy,2024-07-09 00:00:00+00:00,Meteorological Studies-Surface carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,813,NULL,V Samy,2024-07-09 00:00:00+00:00,Meteorological Studies-Surface data at Bharati Station carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,8302,MF287925077,DG IMD New Delhi,2024-07-09 00:00:00+00:00,Meteorological Studies-Surface data at Bharati Station carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,811,NULL,V Samy,2024-07-09 00:00:00+00:00,Meteorological Studies - High Speed Wind Recorder carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,8300,MF-197898559,DG IMD New Delhi,2024-07-09 00:00:00+00:00,Meteorological Studies - High Speed Wind Recorder carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,814,NULL,V Samy,2024-07-09 00:00:00+00:00,"Global Electric Circuit Parameters and their Variability Observed over Maitri, Antarctica"
DUPLICATE DATASET,8303,MF2036878427,Elango P,2024-07-09 00:00:00+00:00,"Global Electric Circuit Parameters and their Variability Observed over Maitri, Antarctica"
DUPLICATE DATASET,810,NULL,V Samy,2024-07-08 00:00:00+00:00,Meteorological Studies - Ozone carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,8299,MF-2023515775,DG IMD New Delhi,2024-07-08 00:00:00+00:00,Meteorological Studies - Ozone carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,809,NULL,V Samy,2024-07-08 00:00:00+00:00,Meteorological Studies - Radiation carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,8298,MF1998108267,DG IMD New Delhi,2024-07-08 00:00:00+00:00,Meteorological Studies - Radiation carried out during Indian Scientific Expedition to Antarctica
DUPLICATE DATASET,808,NULL,V Samy,2024-07-08 00:00:00+00:00,Automated framework for detection and documentation of finfish biodiversity change of the Polar habitat using AI based deep learning models
DUPLICATE DATASET,8297,MF-470699660,Felix M Philip,2024-07-08 00:00:00+00:00,Automated framework for detection and documentation of finfish biodiversity change of the Polar habitat using AI based deep learning models
DUPLICATE DATASET,807,NULL,V Samy,2024-07-05 00:00:00+00:00,test metadata 5 july
DUPLICATE DATASET,8296,MF1419429830,V Samy,2024-07-05 00:00:00+00:00,test metadata 5 july
DUPLICATE DATASET,8295,MF-1131211289,Divya T,2024-07-05 00:00:00+00:00,"IndARC mooring-Hourly temperature and salinity from Kongsfjorden, 2014-2021"
DUPLICATE DATASET,806,NULL,V Samy,2024-07-05 00:00:00+00:00,"IndARC mooring-Hourly temperature and salinity from Kongsfjorden, 2014-2021"
DUPLICATE DATASET,8294,MF1746378043,V Samy,2024-05-01 00:00:00+00:00,Indian Scientific Expedition to Antarctica physical oceanography data
DUPLICATE DATASET,805,NULL,V Samy,2024-05-01 00:00:00+00:00,Indian Scientific Expedition to Antarctica physical oceanography data
DUPLICATE DATASET,8293,MF-395983194,Sanjana MC,2024-03-27 00:00:00+00:00,"Ambient Noise Measurements at Kongsfjorden, Arctic"
DUPLICATE DATASET,804,NULL,V Samy,2024-03-27 00:00:00+00:00,"Ambient Noise Measurements at Kongsfjorden, Arctic"
DUPLICATE DATASET,8292,MF-689322151,Felix M Philip,2023-10-22 00:00:00+00:00,"Underwater footage of the bio diversity in the Kongsfjorden-Krossfjorden twin Arctic fjords, Svalbard, Norway"
DUPLICATE DATASET,803,NULL,V Samy,2023-10-22 00:00:00+00:00,"Underwater footage of the bio diversity in the Kongsfjorden-Krossfjorden twin Arctic fjords, Svalbard, Norway"
DUPLICATE DATASET,8291,MF313531444,THAMBI THURAI,2023-08-29 00:00:00+00:00,Metadata TitleMetadata TitleMetadata Title himalayan Metadata Title
DUPLICATE DATASET,802,NULL,V Samy,2023-08-29 00:00:00+00:00,Metadata TitleMetadata TitleMetadata Title himalayan Metadata Title
DUPLICATE DATASET,8290,MF-886038293,anand jain,2023-03-30 00:00:00+00:00,Particle-attached and free-living microbial community using amplicon sequencing
DUPLICATE DATASET,801,NULL,V Samy,2023-03-30 00:00:00+00:00,Particle-attached and free-living microbial community using amplicon sequencing
DUPLICATE DATASET,800,NULL,V Samy,2022-06-15 00:00:00+00:00,"IND 36/B9 ICE CORE DATA FROM DJUPRANEN ICE RISE IN CENTRAL DRONNING MAUD LAND, EAST ANTARCTICA"
DUPLICATE DATASET,8289,MF-1123791654,Rahul Dey,2022-06-15 00:00:00+00:00,"IND 36/B9 ICE CORE DATA FROM DJUPRANEN ICE RISE IN CENTRAL DRONNING MAUD LAND, EAST ANTARCTICA"
DUPLICATE DATASET,799,NULL,V Samy,2021-12-16 00:00:00+00:00,Himalayan Cryospheric Observations and Modelling (HiCOM)
DUPLICATE DATASET,8288,MF1849333410,Legacy Import,2021-12-16 00:00:00+00:00,Himalayan Cryospheric Observations and Modelling (HiCOM)
DUPLICATE DATASET,8287,MF-699452213,TARIQ EJAZ,2021-11-16 00:00:00+00:00,"ICE CORE (IND-33 /B8 ) Data from Central Dronning Maud Land, East Antarctica"
DUPLICATE DATASET,798,NULL,V Samy,2021-11-16 00:00:00+00:00,"ICE CORE (IND-33 /B8 ) Data from Central Dronning Maud Land, East Antarctica"
DUPLICATE DATASET,784,NULL,V Samy,2021-11-08 00:00:00+00:00,"Magma-genesis, mode of emplacement and evolution of granitoids in parts of Larsemann Hills, Prydz Bay region, East Antarctica"
DUPLICATE DATASET,8273,MF-1697782782,Legacy Import,2021-11-08 00:00:00+00:00,"Magma-genesis, mode of emplacement and evolution of granitoids in parts of Larsemann Hills, Prydz Bay region, East Antarctica"
DUPLICATE DATASET,8276,MF-1651124592,Legacy Import,2021-11-08 00:00:00+00:00,Integrated Atmospheric Observation Facility for Antarctica (IAOFA)
DUPLICATE DATASET,787,NULL,V Samy,2021-11-08 00:00:00+00:00,Integrated Atmospheric Observation Facility for Antarctica (IAOFA)
DUPLICATE DATASET,8277,MF-485025085,Legacy Import,2021-11-08 00:00:00+00:00,"Characterizing atmospheric processes, variability and change in Antarctica."
DUPLICATE DATASET,788,NULL,V Samy,2021-11-08 00:00:00+00:00,"Characterizing atmospheric processes, variability and change in Antarctica."
DUPLICATE DATASET,764,NULL,V Samy,2021-11-05 00:00:00+00:00,"Characterizing atmospheric processes, variability and change in Antarctica."
DUPLICATE DATASET,8253,MF-1547156850,Legacy Import,2021-11-05 00:00:00+00:00,"Characterizing atmospheric processes, variability and change in Antarctica."
DUPLICATE DATASET,8285,MF725582039,Legacy Import,2021-11-08 00:00:00+00:00,Matching continents: correlating India and Antarctica across the Indian Ocean
DUPLICATE DATASET,796,NULL,V Samy,2021-11-08 00:00:00+00:00,Matching continents: correlating India and Antarctica across the Indian Ocean
DUPLICATE DATASET,783,NULL,V Samy,2021-11-08 00:00:00+00:00,"Biogeochemistry and Paleoenvironmental studies of Larsemann Hills, Prydz Bay and SchirmacherOasis  (Reconstruction of relative sea level from lacustrine sediments of Ongul Island)"
DUPLICATE DATASET,8272,MF-1413772582,Legacy Import,2021-11-08 00:00:00+00:00,"Biogeochemistry and Paleoenvironmental studies of Larsemann Hills, Prydz Bay and SchirmacherOasis  (Reconstruction of relative sea level from lacustrine sediments of Ongul Island)"
DUPLICATE DATASET,789,NULL,V Samy,2021-11-08 00:00:00+00:00,Operational Service: Weather Forecast and Meteorological Observational for Maitri and surrounding region -Maitri
DUPLICATE DATASET,8278,MF-713746818,Legacy Import,2021-11-08 00:00:00+00:00,Operational Service: Weather Forecast and Meteorological Observational for Maitri and surrounding region -Maitri
DUPLICATE DATASET,8286,MF1540467583,Legacy Import,2021-11-08 00:00:00+00:00,"Verify and validate the speculated provenance for the detrital sediments of Prydz Bay through direct geological field and laboratory investigations in the interior of the Princess Elizabeth Land terrain, East Antarctica"
DUPLICATE DATASET,797,NULL,V Samy,2021-11-08 00:00:00+00:00,"Verify and validate the speculated provenance for the detrital sediments of Prydz Bay through direct geological field and laboratory investigations in the interior of the Princess Elizabeth Land terrain, East Antarctica"
DUPLICATE DATASET,786,NULL,V Samy,2021-11-08 00:00:00+00:00,"Hydrodynamics of the Indian Ocean sector of chokepoint between Africa and Antarctica and coastal Antarctica, as a part of validation of satellite data."
DUPLICATE DATASET,8275,MF-2019276381,Legacy Import,2021-11-08 00:00:00+00:00,"Hydrodynamics of the Indian Ocean sector of chokepoint between Africa and Antarctica and coastal Antarctica, as a part of validation of satellite data."
DUPLICATE DATASET,792,NULL,V Samy,2021-11-08 00:00:00+00:00,Hydrographic Survey off princess Astrid Coast and Larsemann Hills.
DUPLICATE DATASET,8281,MF-415073374,Legacy Import,2021-11-08 00:00:00+00:00,Hydrographic Survey off princess Astrid Coast and Larsemann Hills.
DUPLICATE DATASET,790,NULL,V Samy,2021-11-08 00:00:00+00:00,Operational Service: Weather Forecast and Meteorological Observational for Bharati and surrounding region - Bharati
DUPLICATE DATASET,8279,MF1426437494,Legacy Import,2021-11-08 00:00:00+00:00,Operational Service: Weather Forecast and Meteorological Observational for Bharati and surrounding region - Bharati
DUPLICATE DATASET,8280,MF354567922,Legacy Import,2021-11-08 00:00:00+00:00,"Characterizing atmospheric processes, variability and change in Antarctic  Bharati"
DUPLICATE DATASET,791,NULL,V Samy,2021-11-08 00:00:00+00:00,"Characterizing atmospheric processes, variability and change in Antarctic  Bharati"
DUPLICATE DATASET,795,NULL,V Samy,2021-11-08 00:00:00+00:00,"Comparative Studies of Gondwana Coals from Amery Group, Antarctica and Mahanadi-Godavari basins with emphasis on isotope characterization to establish direct evidence for India-Antarctica fit"
DUPLICATE DATASET,8284,MF919651201,Legacy Import,2021-11-08 00:00:00+00:00,"Comparative Studies of Gondwana Coals from Amery Group, Antarctica and Mahanadi-Godavari basins with emphasis on isotope characterization to establish direct evidence for India-Antarctica fit"
DUPLICATE DATASET,8283,MF1776830700,Legacy Import,2021-11-08 00:00:00+00:00,"Quest for the Meteorites in Grove Mountains area, Prydz Bay, East Antarctica"
DUPLICATE DATASET,794,NULL,V Samy,2021-11-08 00:00:00+00:00,"Quest for the Meteorites in Grove Mountains area, Prydz Bay, East Antarctica"
DUPLICATE DATASET,8282,MF1843414908,Legacy Import,2021-11-08 00:00:00+00:00,"Constraining geodynamic evolution of Princess Elizabeth Land (PEL), East Antarctica in relation to the Eastern Ghats Belt (EGB), India using geological and geophysical approaches."
DUPLICATE DATASET,793,NULL,V Samy,2021-11-08 00:00:00+00:00,"Constraining geodynamic evolution of Princess Elizabeth Land (PEL), East Antarctica in relation to the Eastern Ghats Belt (EGB), India using geological and geophysical approaches."
DUPLICATE DATASET,8271,MF-2077384082,Legacy Import,2021-11-08 00:00:00+00:00,Sea Ice and Westerly winds during  the Holocene in coastal Antarctica  (part of long-term CRYOSPHERE AND CLIMATE project).
DUPLICATE DATASET,782,NULL,V Samy,2021-11-08 00:00:00+00:00,Sea Ice and Westerly winds during  the Holocene in coastal Antarctica  (part of long-term CRYOSPHERE AND CLIMATE project).
